classification,ra ,dec,u,b,v,r,h,k
1,8.19,39.58,14.75,14.56,13.81,13.21,11.13,11.04
1,11.12,41.36,15.52,15.05,14.16,13.57,11.23,11.07
1,10.25,41.23,15.88,15.4,14.22,13.56,10.91,10.77
1,10.25,40.6,15.21,15.06,14.25,13.62,11.78,11.69
1,10.69,41.24,15.76,14.97,14.47,13.29,11.51,11.38
1,10.81,41.12,15.9,15.56,14.7,14.15,11.91,11.81
1,10.67,41.26,16.09,15.59,14.78,14.05,11.41,11.49
1,11.06,41.32,16.06,15.66,14.79,14.23,12.08,11.94
1,10.12,40.6,14.66,14.71,14.82,14.45,12.76,12.77
1,10.79,41.36,16.73,16.06,14.83,14.13,11.5,11.36
1,10.23,41.69,16.03,15.74,14.91,14.37,12.26,12.23
1,10.22,41.31,16.36,15.94,14.93,14.39,12.1,11.98
1,10.47,40.79,16.05,15.81,14.97,14.48,12.49,12.38
1,10.88,41.35,15.91,15.82,15.03,14.53,12.66,12.62
1,10.82,41.46,16.71,16.03,15.05,14.43,11.84,11.69
1,10.99,41.51,16.07,15.86,15.06,14.54,12.52,12.49
1,10.14,41.36,15.99,15.86,15.09,14.62,12.79,12.75
1,10.58,41.23,15.99,15.9,15.13,14.66,12.84,12.76
1,12.42,41.59,16.09,15.93,15.16,14.66,12.76,12.68
1,10.95,41.45,16.16,15.97,15.19,14.67,12.69,12.63
1,11.35,41.11,16.03,15.93,15.21,14.73,12.89,12.79
1,10.86,41.26,16.8,16.19,15.22,14.64,12.24,12.08
1,10.82,39.82,15.84,15.71,15.22,14.64,13.07,12.98
1,10.62,41.3,16.63,16.25,15.23,14.66,12.1,11.94
1,10.64,41.06,16.38,16.08,15.28,14.62,12.35,12.27
1,10.94,41.62,16.91,16.3,15.33,14.76,12.32,12.15
1,11.55,41.33,17.1,16.17,15.33,14.87,12.84,12.68
1,10.71,41.29,16.62,16.22,15.34,14.8,9999,12.62
1,10.88,41.3,16.44,16.22,15.39,14.84,12.88,12.81
1,10.59,41.54,16.87,16.54,15.42,14.73,12.34,12.27
1,10.76,41.5,16.81,16.33,15.42,14.81,12.3,12.19
1,10.9,41.14,16.62,16.36,15.43,14.82,12.52,12.45
1,9.89,40.52,16.34,16.41,15.45,14.8,12.85,12.73
1,11.11,41.48,16.13,16.03,15.45,14.84,13.37,13.39
1,10.99,41.41,16.58,16.29,15.46,14.93,12.8,12.71
1,10.37,40.9,16.77,16.42,15.47,14.9,12.61,12.5
1,10.88,41.65,16.81,16.47,15.47,14.83,12.59,12.49
1,11.01,41.08,16.23,16.22,15.48,15,13.17,13.13
1,10.11,41.46,16.94,16.49,15.5,14.97,12.74,12.63
1,12.68,32.92,9999,9999,15.5,9999,13.4,13.37
1,10.08,40.73,16.88,16.55,15.53,14.9,12.68,12.53
1,10.91,41.25,17.03,16.48,15.54,14.98,12.66,12.64
1,10.57,41.02,18.41,17.1,15.54,14.55,11.59,11.45
1,11.61,42.03,16.55,16.36,15.55,15,12.95,12.85
1,10.6,40.95,17.01,16.52,15.55,14.99,12.58,12.48
1,10.31,40.93,16.67,16.49,15.56,15.1,13.07,13.03
1,9.92,40.95,16.66,16.38,15.56,14.95,12.85,12.8
1,10.76,41.36,17.19,16.56,15.59,15,12.71,12.58
1,13.31,41.56,16.24,16.24,15.6,15.13,13.57,13.59
1,11.42,41.76,17.07,16.58,15.64,15.13,12.57,12.49
1,11.53,41.35,16.82,16.61,15.66,15.15,13.14,13.07
1,10.5,41.49,17.49,16.87,15.66,14.89,12.22,12.04
1,11.17,41.25,16.49,16.39,15.67,15.2,13.35,13.27
1,10.99,41.37,17.11,16.67,15.75,15.17,12.93,12.81
1,11.59,40.28,17.17,16.74,15.75,15.26,13,12.94
1,11.18,41.73,16.82,16.61,15.76,15.27,13.25,13.17
1,11.1,41.35,15.42,16.04,15.77,15.59,14.5,14.7
1,8.39,39.52,16.52,16.48,15.77,15.33,13.71,13.58
1,10.43,41.57,17.09,16.72,15.78,15.19,13,12.92
1,10.77,41.3,16.92,16.82,15.8,15.4,13.15,13.17
1,7.79,37.9,16.67,16.52,15.8,15.31,13.61,13.66
1,10.61,41.09,17.46,16.76,15.81,15.37,9999,12.46
1,10.97,41.17,17.1,16.9,15.9,15.55,13.66,13.43
1,10.63,41.33,17.23,16.73,15.94,15.29,13.02,12.91
1,11.71,42.75,16.83,16.67,15.95,15.4,13.55,13.49
1,10.51,41.87,16.98,16.71,15.95,15.38,13.39,13.37
1,10.9,41.03,17.35,16.96,15.95,15.35,13.13,13
1,10.2,41.2,17.55,17.04,15.95,15.23,12.69,12.6
1,10.41,41.35,17.86,17.29,15.98,15.26,12.56,12.38
1,11.19,42.06,17.06,16.8,15.99,15.55,14.18,13.98
1,10.53,40.99,17.37,16.92,15.99,15.42,13.16,13.1
1,10.75,41.32,17.75,17.14,16,15.48,12.98,12.94
1,10.88,41.13,17.26,16.9,16.02,15.46,13.33,13.4
1,10.63,41.21,17.6,17,16.03,15.46,13.22,13.15
1,10.64,41.23,17.88,17.05,16.03,15.44,12.65,12.43
1,10.72,41.52,17.22,16.96,16.04,15.47,13.27,13.15
1,11.15,40.95,16.78,16.77,16.05,15.61,13.86,13.82
1,6.7,39.75,9999,9999,16.05,9999,13.87,13.64
1,10.13,40.76,15.25,15.9,16.06,15.72,14.36,14.15
1,10.44,41.42,17.85,17.24,16.08,15.39,12.92,12.83
1,12.54,41.68,17.44,16.95,16.09,15.51,13.19,13.01
1,8.59,41.8,16.86,16.76,16.09,15.61,13.96,13.96
1,9.95,40.53,16.3,16.55,16.09,15.76,14.65,14
1,9,35.68,17.01,16.86,16.13,15.62,13.95,13.8
1,10.79,41.3,17.26,17.07,16.16,15.58,13.18,13.02
1,11.5,40.71,17.49,17.03,16.18,15.56,13.19,13.09
1,10.61,40.99,17.5,17.19,16.21,15.69,13.58,13.44
1,10.63,41.17,18.25,17.34,16.22,15.64,13.17,12.95
1,10.79,41.25,17.86,17.24,16.24,15.69,13.1,13.09
1,10.64,41.3,18.07,17.33,16.26,15.56,12.84,12.62
1,11.24,41.49,17.42,17.12,16.27,15.72,13.39,13.31
1,12.32,41.59,17.52,17.2,16.29,15.68,13.47,13.27
1,10.42,41.12,18.62,17.77,16.29,15.37,12.3,12.16
1,9.09,40.89,17.15,17.03,16.3,15.79,14.12,14.15
