,ac age,fu,fb,fv,fr,fi,fj,fh,fk,nuv,enuv,fuv,efuv,Vr
1,old cluster,6,6,6,6,6,0,0,0,18.02,0.01,18.97,0.03,-332.00
2,old cluster,0,0,0,0,0,0,0,0,19.33,0.02,20.17,0.05,-165.00
3,old cluster,0,0,0,0,0,0,0,0,20.11,0.04,21.11,0.11,-451.00
4,old cluster,0,0,0,0,0,0,0,0,18.28,0.01,19.05,0.02,-274.00
5,old cluster,6,6,6,6,7,0,0,0,19.39,0.08,20.66,0.11,-470.00
6,old cluster,0,0,0,0,0,0,0,0,19.33,0.02,20.08,0.05,-187.00
7,other class,13,19,19,19,1,0,0,0,19.64,0.21,20.62,0.19,70.00
8,old cluster,7,7,7,7,7,0,0,0,19.07,0.02,19.74,0.05,-220.00
9,old cluster,0,0,0,0,0,5,5,5,16.43,0.00,16.58,0.01,-567.00
10,old cluster,0,0,0,0,0,0,0,0,21.18,0.09,22.50,0.23,-330.00
11,old cluster,7,7,0,7,0,0,0,0,19.20,0.01,20.05,0.02,-351.00
12,old cluster,0,0,0,0,0,0,0,0,19.97,0.02,20.81,0.04,-224.00
13,old cluster,0,0,0,0,0,0,0,0,19.09,0.01,20.23,0.04,-224.00
14,other class,7,0,0,0,0,0,0,0,18.73,0.02,19.48,0.03,-138.00
15,old cluster,6,0,6,0,6,0,0,0,21.32,0.06,999.00,999.00,-174.00
16,old cluster,7,0,0,0,0,0,0,0,19.20,0.02,20.43,0.04,-192.00
17,old cluster,0,0,0,0,0,0,0,0,19.02,0.01,20.11,0.02,-363.00
18,interm cluster,6,6,0,6,0,0,0,0,18.70,0.02,19.61,0.05,-189.00
19,old cluster,0,0,0,7,0,0,0,0,18.89,0.02,19.72,0.06,-162.00
20,old cluster,7,19,7,19,7,0,0,0,19.03,0.02,19.94,0.04,-106.00
21,old cluster,6,0,0,0,0,0,0,0,18.94,0.02,19.90,0.04,-56.00
22,old cluster,0,0,0,0,0,0,0,0,21.21,0.08,999.00,999.00,-273.00
23,old cluster,7,0,0,0,1,0,0,0,18.68,0.01,20.20,0.04,-315.00
24,old cluster,0,0,0,0,0,0,0,0,21.20,0.14,22.65,0.27,-334.00
25,old cluster,0,0,0,0,0,0,0,0,19.55,0.03,20.21,0.06,-247.00
26,old cluster,0,0,0,0,0,0,0,0,21.24,0.05,21.96,0.10,-59.00
27,old cluster,6,6,0,6,0,0,0,0,21.21,0.06,999.00,999.00,-253.00
28,old cluster,0,0,0,0,6,2,9,2,19.89,0.11,20.81,0.13,-424.00
29,old cluster,6,0,0,0,6,0,0,0,19.91,0.04,21.67,0.14,-139.00
30,old cluster,6,6,0,0,0,0,0,0,20.58,0.03,21.49,0.07,-478.00
31,old cluster,6,0,0,0,0,5,5,5,20.90,0.03,22.79,0.16,-125.00
32,old cluster,0,0,0,0,0,0,0,0,20.03,0.03,20.64,0.06,-347.00
33,old cluster,6,6,0,6,6,0,0,0,19.72,0.02,21.18,0.06,-469.00
34,old cluster,0,0,0,0,0,0,0,0,19.36,0.02,20.78,0.05,-161.00
35,old cluster,7,0,0,0,0,0,0,0,20.10,0.03,22.07,0.19,-373.00
36,old cluster,0,0,0,0,0,0,0,0,21.18,0.05,999.00,999.00,-539.00
37,old cluster,6,0,0,0,0,0,0,0,20.32,0.02,21.32,0.05,-478.00
38,old cluster,0,0,0,0,0,0,0,0,19.16,0.02,20.28,0.05,-402.00
39,old cluster,0,0,0,0,0,0,0,0,21.41,0.04,999.00,999.00,-237.00
40,young clster,6,6,6,0,0,0,0,0,999.00,999.00,999.00,999.00,-355.00
41,old cluster,6,6,6,6,6,0,0,0,21.08,0.12,999.00,999.00,-265.00
42,old cluster,6,0,0,0,0,0,0,0,20.81,0.06,999.00,999.00,-163.00
43,young clster,0,0,0,0,0,0,0,0,999.00,999.00,999.00,999.00,-366.00
44,old cluster,0,0,0,0,0,0,0,0,20.00,0.02,21.64,0.08,-383.00
45,old cluster,0,0,0,0,0,0,0,0,21.60,0.16,999.00,999.00,-565.00
46,old cluster,0,0,0,0,0,0,0,0,19.89,0.03,21.04,0.10,-264.00
47,old cluster,0,0,0,0,0,0,0,0,20.08,0.04,21.06,0.10,-174.00
48,old cluster,0,0,0,0,0,0,0,0,20.78,0.08,21.34,0.10,-51.00
49,young clster,0,0,0,0,0,0,0,0,999.00,999.00,999.00,999.00,-154.00
50,old cluster,0,0,0,0,0,0,0,0,21.23,0.07,999.00,999.00,-219.00
51,old cluster,6,0,0,0,0,0,0,0,20.41,0.03,999.00,999.00,-86.00
52,other class,14,0,0,0,0,0,0,0,22.85,0.25,999.00,999.00,-302.00
53,other class,6,0,0,0,0,0,0,0,19.49,0.02,20.67,0.06,-182.00
54,old cluster,6,0,0,0,0,0,0,0,21.18,0.06,999.00,999.00,-352.00
55,old cluster,6,6,6,6,6,0,0,0,21.32,0.07,999.00,999.00,-364.00
56,old cluster,6,0,0,0,0,0,0,0,20.04,0.02,21.27,0.05,-74.00
57,old cluster,0,0,0,0,0,5,5,5,16.81,0.00,16.82,0.01,99999.00
58,old cluster,0,0,0,0,0,0,0,0,19.38,0.02,20.91,0.08,-313.00
59,old cluster,6,6,0,0,0,0,0,0,21.07,0.03,999.00,999.00,-425.00
60,old cluster,0,0,0,0,0,0,0,0,19.60,0.03,20.46,0.06,-290.00
61,old cluster,6,0,0,0,0,0,0,0,999.00,999.00,999.00,999.00,-458.00
62,other class,13,0,0,0,0,1,9,1,22.39,0.24,999.00,999.00,-233.00
63,old cluster,0,0,0,0,0,0,0,0,20.67,0.06,999.00,999.00,-706.00
64,old cluster,0,0,0,0,0,0,0,0,20.34,0.04,20.96,0.08,-337.00
65,old cluster,6,6,6,6,6,0,0,0,20.08,0.02,22.83,0.16,-251.00
66,young clster,7,7,6,7,6,0,0,0,20.75,0.02,999.00,999.00,-252.00
67,old cluster,0,0,0,0,0,3,3,3,999.00,999.00,999.00,999.00,-186.00
68,old cluster,0,0,0,0,0,0,0,0,21.57,0.13,999.00,999.00,-514.00
69,young clster,0,0,0,0,0,0,0,0,999.00,999.00,999.00,999.00,-243.00
70,old cluster,0,0,6,0,6,0,0,0,20.24,0.02,22.09,0.10,-141.00
71,old cluster,7,0,0,0,0,0,0,0,21.70,0.14,999.00,999.00,-481.00
72,old cluster,6,0,0,0,0,0,0,0,21.98,0.22,999.00,999.00,-128.00
73,old cluster,0,0,0,0,0,0,0,0,21.21,0.07,999.00,999.00,-202.00
74,old cluster,0,0,0,0,0,0,0,0,21.74,0.16,999.00,999.00,-102.00
75,old cluster,6,0,0,0,6,0,0,0,999.00,999.00,999.00,999.00,-549.00
76,old cluster,0,0,0,0,0,0,0,0,20.45,0.02,21.76,0.07,-371.00
77,old cluster,0,0,6,0,0,0,0,0,19.46,0.03,20.69,0.08,-597.00
78,old cluster,6,0,6,0,0,0,0,0,999.00,999.00,999.00,999.00,-219.00
