,name,classification,possible for candidate GCs,flag,ac age,pe age,RAJ2000,DECJ2000
1,B001,1,0,0,3,1,0.027673715,+40:58:10.63
2,B002,1,0,0,3,1,0.027807581,+41:11:53.53
3,B003,1,0,0,3,1,0.027886678,+41:11:05.65
4,B004,1,0,0,3,1,0.027985208,+41:22:40.29
5,B005,1,0,0,3,1,0.028012951,+40:43:58.31
6,B006,1,0,1,3,1,0.028084352,+41:27:26.71
7,B007,4,0,0,9,0,0.028093495,+41:29:09.82
8,B008,1,0,1,3,1,0.028128345,+41:16:08.73
9,B009,1,0,1,3,1,0.028133137,+41:36:55.61
10,B010,1,0,1,3,1,0.028143125,+41:14:22.54
11,B011,1,0,1,3,1,0.028146748,+41:39:16.91
12,B012,1,0,1,3,1,0.028153542,+41:21:44.23
13,B013,1,0,1,3,1,0.028222639,+41:25:23.72
14,B014,4,0,0,9,4,0.028224572,+41:12:45.84
15,B015,1,0,0,3,1,0.028298947,+40:59:56.10
16,B016,1,0,0,3,1,0.028300532,+41:22:09.91
17,B017,1,0,1,3,1,0.02834162,+41:12:07.21
18,B018,1,0,1,2,3,0.028349618,+40:41:31.78
19,B019,1,0,1,3,1,0.028385752,+41:18:53.41
20,B020,1,0,1,3,1,0.028417373,+41:41:25.26
21,B021,1,0,0,3,1,0.02846066,+41:05:39.08
22,B022,1,0,0,3,1,0.028461655,+41:24:42.10
23,B023,1,0,1,3,1,0.028485961,+41:13:45.79
24,B024,1,0,0,3,1,0.028609502,+41:45:49.17
25,B025,1,0,0,3,1,0.028617604,+41:00:28.18
26,B026,1,0,0,3,1,0.028640683,+41:24:40.19
27,B027,1,0,1,3,1,0.028640347,+40:55:50.93
28,B028,1,0,0,3,1,0.028662998,+40:59:03.30
29,B029,1,0,1,3,1,0.028678727,+41:00:22.84
30,B030,1,0,1,3,1,0.028688958,+40:57:15.63
31,B031,1,0,0,3,1,0.028714352,+40:59:04.23
32,B032,1,0,0,3,1,0.028721227,+41:17:30.28
33,B033,1,0,0,3,1,0.028777813,+41:00:14.16
34,B034,1,0,0,3,1,0.028797604,+40:53:49.62
35,B035,1,0,0,3,1,0.028849375,+41:38:32.70
36,B036,1,0,0,3,1,0.028852222,+41:26:05.19
37,B037,1,0,1,3,1,0.02887728,+41:14:55.18
38,B038,1,0,0,3,1,0.028888391,+41:19:14.91
39,B039,1,0,0,3,1,0.02891066,+41:20:50.14
40,B040,1,0,0,1,3,0.028922164,+40:40:54.35
41,B041,1,0,1,3,1,0.028944606,+41:14:45.50
42,B042,1,0,1,3,1,0.028954514,+41:07:26.29
43,B043,1,0,0,1,3,0.02896191,+40:42:39.82
44,B044,1,0,0,3,1,0.0289689,+41:20:06.37
45,B045,1,0,1,3,1,0.028971157,+41:34:19.99
46,B046,1,0,1,3,1,0.028988438,+41:46:27.71
47,B047,1,0,1,3,1,0.02899963,+41:42:04.15
48,B048,1,0,0,3,1,0.02899897,+41:13:30.72
49,B049,1,0,1,1,3,0.028999942,+40:49:54.35
50,B050,1,0,0,3,1,0.02900772,+41:32:18.48
51,B051,1,0,0,3,1,0.029012523,+41:25:19.23
52,B052,4,0,0,9,0,0.029015729,+41:38:09.77
53,B053,6,0,6,9,0,0.0290189,+41:22:44.98
54,B054,1,0,0,3,1,0.029023935,+41:00:55.14
55,B055,1,0,0,3,1,0.029055463,+41:12:12.48
56,B056,1,0,1,3,1,0.029064306,+40:57:40.06
57,B057,1,0,1,3,1,0.029083715,+40:52:04.73
58,B058,1,0,1,3,1,0.029085741,+40:47:09.65
59,B059,1,0,0,3,1,0.02909838,+41:11:00.90
60,B060,1,0,1,3,1,0.029132014,+41:05:14.40
61,B061,1,0,1,3,1,0.029168206,+41:29:35.71
62,B062,4,0,0,9,0,0.029170046,+41:38:32.49
63,B063,1,0,1,3,1,0.029176759,+41:29:09.53
64,B064,1,0,0,3,1,0.029188981,+41:11:07.50
65,B065,1,0,0,3,1,0.029189063,+40:40:13.00
66,B066,1,0,0,1,3,0.029202419,+40:44:47.12
67,B067,1,0,1,3,1,0.029203345,+41:04:23.62
68,B068,1,0,1,3,1,0.029203785,+40:58:50.13
69,B069,1,0,1,1,3,0.029230475,+41:26:09.38
70,B070,1,0,1,3,1,0.029246447,+41:07:56.41
71,B071,1,0,0,3,1,0.029249236,+41:12:12.06
72,B072,1,0,1,3,1,0.029252523,+41:22:47.73
73,B073,1,0,0,3,1,0.029251354,+40:59:21.16
74,B074,1,0,1,3,1,0.029259734,+41:43:21.62
75,B075,1,0,1,3,1,0.029268796,+41:20:21.25
76,B076,1,0,1,3,1,0.029285289,+41:05:22.05
77,B077,1,0,1,3,1,0.029295475,+41:07:34.00
78,B078,1,0,0,3,1,0.029307303,+41:17:58.80
79,B079,4,0,0,9,4,0.029307384,+41:29:28.02
80,B080,1,0,1,3,1,0.029309826,+41:19:00.89
81,B081,1,0,0,1,3,0.029323912,+40:48:38.96
82,B082,1,0,1,3,1,0.029349954,+41:01:14.28
83,B083,1,0,1,3,1,0.029356944,+41:45:20.76
84,B084,1,0,1,3,1,0.029368623,+41:18:55.82
85,B085,1,0,0,3,1,0.029377801,+40:39:57.14
86,B086,1,0,1,3,1,0.029382558,+41:14:02.13
87,B088,1,0,1,3,1,0.029410451,+41:32:14.20
88,B089,6,0,0,9,6,0.02941272,+41:39:47.37
89,B090,1,0,1,3,1,0.029411065,+41:02:57.66
90,B091,1,0,1,1,3,0.02941794,+41:22:05.40
91,B092,1,0,0,3,1,0.029425625,+41:08:08.67
92,B093,1,0,1,3,1,0.029434421,+41:21:43.57
93,B094,1,0,1,3,1,0.029456516,+40:57:17.61
94,B095,1,0,0,3,1,0.029465972,+41:05:36.27
95,B096,1,0,1,3,1,0.029468519,+41:19:14.79
96,B097,1,0,1,3,1,0.029484433,+41:25:32.18
97,B098,1,0,1,3,1,0.029483738,+40:59:35.86
98,B099,1,0,0,3,1,0.029486273,+41:10:03.40
99,B100,1,0,1,3,1,0.029501435,+40:49:55.70
100,B101,1,0,1,3,1,0.029502627,+41:08:15.77
101,B102,7,0,7,9,0,0.029512002,+41:34:18.04
102,B103,1,0,1,3,1,0.029510775,+41:17:57.62
103,B104,1,0,1,3,1,0.029513565,+41:17:25.56
104,B105,1,0,0,3,1,0.029522535,+41:30:27.34
105,B106,1,0,0,3,1,0.02952588,+41:12:18.39
106,B107,1,0,1,3,1,0.029528414,+41:19:38.87
107,B108,1,0,0,3,1,0.029527477,+41:08:51.38
108,B109,1,0,1,3,1,0.02953897,+41:10:27.87
109,B110,1,0,1,3,1,0.029549826,+41:03:28.36
110,B111,1,0,1,3,1,0.02955059,+41:00:26.34
111,B112,1,0,1,3,1,0.029551424,+41:17:42.38
112,B113,6,0,6,9,0,0.029554919,+41:21:38.58
113,B114,1,0,1,3,1,0.029563692,+41:12:45.05
114,B115,1,0,1,3,1,0.029564861,+41:14:01.87
115,B116,1,0,1,3,1,0.029566481,+41:32:51.17
116,B117,1,0,1,3,1,0.029564722,+40:57:09.05
117,B118,6,0,6,9,0,0.029566447,+41:15:08.49
118,B119,1,0,1,3,1,0.029584271,+41:17:35.39
119,B122,1,0,1,3,1,0.029630856,+41:33:46.57
120,B123,1,0,1,3,1,0.02963735,+41:10:33.31
121,B124,1,0,1,3,1,0.029646296,+41:15:23.66
122,B125,1,0,1,3,1,0.029655787,+41:05:30.95
123,B126,1,0,1,3,1,0.029672234,+41:12:42.70
124,B127,1,0,1,3,1,0.02968169,+41:14:41.41
125,B128,1,0,1,3,1,0.029719861,+41:11:13.75
126,B129,1,0,1,3,1,0.029726007,+41:25:06.39
