classification,ra,dec,u,b,v,r,i,j,h,k,Vr
GCs,8.19,39.58,14.75,14.56,13.81,13.21,12.68,11.85,11.13,11.04,-332.00
GCs,11.12,41.36,15.52,15.05,14.16,13.57,12.93,11.95,11.23,11.07,-165.00
GCs,10.25,41.23,15.88,15.40,14.22,13.56,12.57,11.66,10.91,10.77,-451.00
GCs,10.25,40.60,15.21,15.06,14.25,13.62,13.23,12.44,11.78,11.69,-274.00
GCs,10.69,41.24,15.76,14.97,14.47,13.29,13.23,12.22,11.51,11.38,-470.00
GCs,10.81,41.12,15.90,15.56,14.70,14.15,13.55,12.63,11.91,11.81,-187.00
GCs,10.67,41.26,16.09,15.59,14.78,14.05,13.63,12.19,11.41,11.49,70.00
GCs,11.06,41.32,16.06,15.66,14.79,14.23,13.63,12.77,12.08,11.94,-220.00
GCs,10.12,40.60,14.66,14.71,14.82,14.45,14.04,13.26,12.76,12.77,-567.00
GCs,10.79,41.36,16.73,16.06,14.83,14.13,13.38,12.25,11.50,11.36,-330.00
GCs,10.23,41.69,16.03,15.74,14.91,14.37,13.80,12.97,12.26,12.23,-351.00
GCs,10.22,41.31,16.36,15.94,14.93,14.39,13.74,12.85,12.10,11.98,-224.00
GCs,10.47,40.79,16.05,15.81,14.97,14.48,13.87,13.13,12.49,12.38,-224.00
GCs,10.88,41.35,15.91,15.82,15.03,14.53,14.01,13.29,12.66,12.62,-138.00
GCs,10.82,41.46,16.71,16.03,15.05,14.43,13.71,12.64,11.84,11.69,-174.00
GCs,10.99,41.50,16.07,15.86,15.06,14.54,14.03,13.17,12.52,12.49,-192.00
GCs,10.14,41.36,15.99,15.86,15.09,14.62,14.03,13.36,12.79,12.75,-363.00
GCs,10.58,41.23,15.99,15.90,15.13,14.66,14.09,13.39,12.84,12.76,-189.00
GCs,12.42,41.59,16.09,15.93,15.16,14.66,14.13,13.41,12.76,12.68,-162.00
GCs,10.95,41.45,16.16,15.97,15.19,14.67,14.12,13.34,12.69,12.63,-106.00
GCs,11.35,41.11,16.03,15.93,15.21,14.73,14.21,13.47,12.89,12.79,-56.00
GCs,10.86,41.26,16.80,16.19,15.22,14.64,14.02,13.00,12.24,12.08,-273.00
GCs,10.82,39.82,15.84,15.71,15.22,14.64,14.12,13.65,13.07,12.98,-315.00
GCs,10.62,41.30,16.63,16.25,15.23,14.66,13.92,12.82,12.10,11.94,-334.00
GCs,10.64,41.06,16.38,16.08,15.28,14.62,14.00,13.10,12.35,12.27,-247.00
GCs,10.94,41.62,16.91,16.30,15.33,14.76,14.05,13.06,12.32,12.15,-59.00
GCs,11.55,41.33,17.10,16.17,15.33,14.87,14.53,13.57,12.84,12.68,-253.00
