ra ,dec,u,b,v,r,i,j,h,k
8.194,39.578,14.751,14.564,13.807,13.208,12.684,11.849,11.130,11.042
11.123,41.360,15.518,15.053,14.158,13.574,12.934,11.945,11.233,11.073
10.255,41.229,15.876,15.400,14.220,13.560,12.570,11.664,10.907,10.770
10.245,40.597,15.210,15.060,14.250,13.621,13.230,12.441,11.784,11.693
10.685,41.245,15.756,14.966,14.467,13.292,13.230,12.217,11.509,11.380
10.810,41.123,15.900,15.560,14.700,14.150,13.550,12.627,11.907,11.813
10.673,41.257,16.094,15.589,14.777,14.051,13.630,12.189,11.414,11.487
11.060,41.322,16.060,15.660,14.790,14.230,13.630,12.766,12.076,11.944
10.123,40.604,14.657,14.710,14.816,14.450,14.040,13.260,12.760,12.770
10.790,41.359,16.730,16.056,14.830,14.130,13.380,12.253,11.499,11.358
10.230,41.690,16.028,15.743,14.910,14.367,13.799,12.969,12.255,12.232
10.219,41.315,16.360,15.940,14.930,14.394,13.740,12.847,12.096,11.982
10.471,40.786,16.050,15.810,14.970,14.480,13.870,13.126,12.491,12.384
10.878,41.355,15.910,15.820,15.030,14.530,14.010,13.290,12.662,12.617
10.824,41.462,16.710,16.030,15.045,14.430,13.710,12.637,11.840,11.686
10.994,41.505,16.070,15.856,15.060,14.540,14.030,13.165,12.521,12.489
10.135,41.362,15.990,15.860,15.090,14.620,14.030,13.364,12.785,12.745
10.578,41.234,15.985,15.899,15.131,14.661,14.091,13.394,12.838,12.761
12.416,41.592,16.093,15.930,15.158,14.656,14.134,13.408,12.761,12.683
10.952,41.448,16.160,15.970,15.190,14.670,14.120,13.336,12.689,12.627
11.354,41.106,16.030,15.930,15.210,14.730,14.210,13.467,12.888,12.788
10.857,41.260,16.795,16.192,15.217,14.635,14.017,12.997,12.237,12.082
10.824,39.820,15.837,15.710,15.219,14.639,14.122,13.647,13.069,12.979
10.624,41.299,16.630,16.250,15.230,14.660,13.920,12.824,12.099,11.937
10.638,41.058,16.380,16.080,15.280,14.620,14.000,13.104,12.349,12.271
10.940,41.616,16.910,16.300,15.330,14.760,14.050,13.057,12.324,12.146
11.550,41.328,17.096,16.166,15.332,14.873,14.531,13.565,12.844,12.680
10.712,41.285,16.619,16.220,15.342,14.800,14.279,13.370,9999.000,12.620
10.880,41.304,16.440,16.220,15.390,14.840,14.320,13.531,12.875,12.806
10.588,41.537,16.870,16.540,15.420,14.730,13.950,12.992,12.336,12.268
10.756,41.505,16.813,16.331,15.421,14.805,14.102,13.041,12.299,12.191
10.903,41.137,16.620,16.360,15.430,14.820,14.140,13.248,12.522,12.446
9.891,40.521,16.338,16.410,15.445,14.803,14.215,13.495,12.850,12.727
11.113,41.480,16.132,16.034,15.450,14.842,14.420,13.930,13.369,13.389
10.992,41.411,16.580,16.290,15.460,14.930,14.340,13.539,12.799,12.713
10.367,40.897,16.770,16.420,15.470,14.900,14.220,13.350,12.607,12.499
10.876,41.649,16.810,16.470,15.470,14.830,14.180,13.315,12.586,12.489
11.013,41.082,16.230,16.220,15.480,15.000,14.480,13.817,13.169,13.131
10.110,41.457,16.940,16.490,15.500,14.970,14.330,13.471,12.742,12.632
12.677,32.916,9999.000,9999.000,15.500,9999.000,9999.000,14.007,13.402,13.372
10.085,40.733,16.880,16.552,15.529,14.895,14.406,13.393,12.684,12.532
10.905,41.245,17.030,16.480,15.540,14.980,14.360,13.431,12.660,12.644
10.566,41.021,18.410,17.100,15.540,14.550,13.630,12.375,11.591,11.448
11.613,42.031,16.554,16.355,15.547,14.997,14.393,13.689,12.947,12.854
10.604,40.955,17.010,16.520,15.550,14.990,14.290,13.341,12.581,12.476
10.311,40.931,16.669,16.486,15.559,15.104,14.409,13.702,13.067,13.026
9.917,40.951,16.659,16.381,15.560,14.950,14.326,13.559,12.848,12.803
10.764,41.356,17.188,16.563,15.594,15.003,14.415,13.453,12.705,12.575
13.311,41.557,16.242,16.242,15.596,15.125,14.669,14.062,13.566,13.594
11.424,41.759,17.070,16.580,15.640,15.130,14.390,13.352,12.567,12.487
11.527,41.350,16.823,16.608,15.655,15.150,14.540,13.804,13.144,13.067
10.504,41.486,17.490,16.870,15.660,14.890,14.080,12.988,12.217,12.043
11.168,41.250,16.490,16.390,15.670,15.200,14.600,13.942,13.351,13.272
10.985,41.367,17.110,16.670,15.750,15.170,14.580,13.671,12.934,12.814
11.591,40.283,17.174,16.743,15.752,15.260,14.564,13.751,13.001,12.935
11.175,41.732,16.820,16.610,15.760,15.270,14.670,13.832,13.252,13.172
11.105,41.347,15.416,16.044,15.766,15.588,15.686,14.960,14.498,14.696
8.391,39.522,16.523,16.482,15.772,15.325,14.802,14.257,13.711,13.577
10.430,41.572,17.090,16.720,15.780,15.190,14.510,13.725,12.995,12.915
10.766,41.301,16.920,16.820,15.799,15.400,14.880,13.941,13.151,13.169
7.791,37.900,16.667,16.520,15.801,15.310,14.680,14.272,13.607,13.661
10.608,41.093,17.460,16.760,15.810,15.371,14.680,13.050,9999.000,12.460
10.970,41.166,17.100,16.904,15.900,15.552,15.025,14.302,13.656,13.429
10.630,41.327,17.230,16.725,15.940,15.290,14.660,13.718,13.018,12.914
11.706,42.746,16.831,16.673,15.948,15.402,14.950,14.188,13.552,13.490
10.512,41.867,16.976,16.705,15.950,15.377,14.870,14.023,13.394,13.372
10.904,41.034,17.350,16.960,15.950,15.350,14.650,13.790,13.130,13.000
10.203,41.202,17.550,17.040,15.950,15.230,14.510,13.469,12.694,12.595
10.408,41.347,17.860,17.290,15.980,15.260,14.420,13.329,12.562,12.380
11.195,42.064,17.060,16.800,15.990,15.550,14.980,14.654,14.180,13.981
10.530,40.989,17.370,16.920,15.990,15.420,14.770,13.878,13.155,13.096
10.749,41.322,17.750,17.140,16.000,15.480,14.780,13.768,12.982,12.938
10.882,41.130,17.260,16.900,16.020,15.460,14.820,14.149,13.333,13.404
10.629,41.205,17.600,17.000,16.030,15.460,14.770,13.980,13.222,13.149
10.643,41.234,17.880,17.050,16.030,15.440,14.570,13.444,12.654,12.428
10.717,41.519,17.220,16.960,16.040,15.470,14.820,13.893,13.269,13.153
11.147,40.953,16.780,16.770,16.050,15.610,15.130,14.415,13.857,13.815
6.699,39.746,9999.000,9999.000,16.050,9999.000,9999.000,14.487,13.871,13.637
10.127,40.758,15.249,15.897,16.064,15.719,15.431,14.731,14.359,14.154
10.445,41.422,17.851,17.240,16.080,15.390,14.650,13.659,12.918,12.831
12.541,41.684,17.441,16.953,16.085,15.507,14.850,13.884,13.192,13.013
8.587,41.798,16.860,16.760,16.087,15.613,15.140,14.515,13.956,13.957
9.952,40.525,16.304,16.548,16.090,15.755,15.486,14.811,14.645,14.001
8.999,35.684,17.012,16.859,16.131,15.624,15.010,14.434,13.949,13.795
10.792,41.304,17.260,17.070,16.160,15.580,14.920,13.901,13.184,13.019
11.495,40.709,17.491,17.032,16.183,15.560,14.936,13.929,13.193,13.087
10.614,40.993,17.500,17.190,16.210,15.690,15.080,14.244,13.576,13.442
10.634,41.174,18.250,17.340,16.220,15.640,14.900,13.868,13.167,12.947
10.794,41.248,17.860,17.240,16.240,15.690,14.940,13.864,13.101,13.089
10.639,41.295,18.070,17.330,16.260,15.560,14.970,13.594,12.840,12.618
11.241,41.490,17.420,17.120,16.270,15.720,14.945,14.162,13.387,13.307
12.323,41.586,17.523,17.195,16.289,15.682,15.110,14.140,13.471,13.269
10.424,41.124,18.617,17.770,16.290,15.370,14.400,13.048,12.302,12.158
9.087,40.894,17.152,17.033,16.295,15.787,15.400,14.707,14.121,14.152
11.310,41.961,17.280,17.150,16.300,15.630,15.140,14.162,13.432,13.364
9.786,40.573,18.074,17.271,16.300,15.303,14.630,13.530,12.731,12.606
10.430,40.206,17.155,16.992,16.310,15.824,15.274,14.629,13.938,13.923
10.508,41.185,17.150,17.050,16.310,15.780,15.170,14.467,13.713,13.643
7.614,41.605,9999.000,9999.000,16.310,9999.000,15.360,14.731,14.400,14.126
9.936,40.882,17.643,17.384,16.327,15.609,14.806,14.048,13.291,13.134
10.814,41.190,17.410,17.140,16.330,15.820,15.230,14.397,13.700,13.702
10.643,40.953,17.264,16.990,16.340,15.900,15.340,14.660,9999.000,13.880
10.513,40.981,18.140,17.600,16.390,15.590,14.840,13.625,12.810,12.687
10.288,40.598,17.579,17.315,16.397,15.809,15.140,14.331,13.681,13.532
11.311,41.327,17.730,17.390,16.420,15.860,15.220,14.457,13.717,13.691
11.863,41.203,17.380,17.156,16.421,15.882,15.385,14.771,13.948,14.045
10.676,41.092,17.327,17.190,16.444,15.970,15.386,14.948,14.170,14.489
10.100,40.606,16.363,16.788,16.448,16.272,15.880,14.911,14.573,14.363
11.063,40.946,17.739,17.322,16.448,15.818,15.246,14.315,13.630,13.465
12.006,42.426,17.337,17.264,16.456,15.972,15.369,14.610,14.095,13.880
11.141,41.641,17.280,17.140,16.470,15.950,15.500,14.972,14.402,14.248
10.826,41.182,17.130,17.170,16.470,16.050,15.470,14.730,14.254,14.265
10.648,41.243,17.540,17.210,16.470,15.840,15.170,9999.000,13.546,13.465
9.501,40.732,17.300,17.231,16.480,16.032,15.460,14.995,14.422,14.377
10.400,41.321,17.520,17.400,16.490,15.890,15.240,14.460,13.990,13.757
10.595,41.908,17.250,17.133,16.500,15.964,15.490,14.751,14.038,14.135
11.389,42.007,17.498,17.297,16.500,16.020,15.292,14.667,13.939,13.823
16.860,35.780,9999.000,9999.000,16.500,9999.000,15.590,14.987,14.586,14.277
11.742,41.566,18.270,17.231,16.506,15.855,16.166,15.415,14.678,14.729
11.044,41.398,17.810,17.430,16.510,15.950,15.310,14.586,13.806,13.707
10.440,41.225,18.040,17.590,16.510,15.890,15.230,14.207,13.384,13.337
10.877,40.820,17.320,17.250,16.520,16.090,15.530,14.830,14.120,14.106
10.659,42.037,17.325,17.223,16.530,16.050,15.533,14.927,14.275,14.138
9.516,37.733,17.170,17.181,16.540,16.067,15.500,15.003,14.582,14.232
11.042,42.783,17.845,17.590,16.545,16.013,15.350,14.430,13.785,13.667
11.081,41.510,17.420,17.330,16.550,16.100,15.490,14.878,14.210,14.138
11.152,42.289,17.436,17.326,16.569,16.077,15.601,14.958,14.233,14.128
10.715,41.234,17.630,17.480,16.570,16.070,15.450,14.402,13.928,13.812
9.980,41.796,17.402,17.304,16.573,16.130,15.713,14.993,14.529,14.527
15.000,41.902,17.368,17.285,16.574,16.027,15.504,14.920,14.231,14.162
10.133,41.655,17.642,17.460,16.578,16.208,15.564,14.847,14.233,14.081
10.324,41.006,18.297,17.620,16.580,16.040,15.290,14.171,13.375,13.220
9.021,42.036,17.510,17.339,16.585,16.076,15.540,14.704,14.036,14.132
10.805,40.182,17.822,17.492,16.609,15.968,15.420,14.470,13.791,13.708
10.609,41.321,18.560,17.720,16.610,15.850,15.130,13.814,13.082,12.820
10.501,41.493,18.490,17.730,16.610,15.890,15.120,13.986,13.202,13.081
11.012,41.335,17.340,17.290,16.620,16.130,15.650,14.925,14.363,14.256
11.011,41.424,17.710,17.410,16.640,16.140,15.570,14.780,14.150,13.998
10.900,44.983,9999.000,9999.000,16.640,9999.000,15.640,14.968,14.531,14.113
10.534,41.723,17.540,17.400,16.650,16.140,15.580,14.811,14.054,14.242
10.132,41.240,17.650,17.500,16.660,16.120,15.480,14.827,14.278,13.978
10.983,41.543,17.830,17.610,16.680,16.160,15.480,14.530,13.864,13.726
10.858,41.359,18.120,17.630,16.690,16.120,15.400,14.443,13.647,13.605
10.429,41.335,18.376,17.910,16.700,16.060,15.330,14.324,13.590,13.398
9.195,40.328,17.461,17.384,16.705,16.231,15.690,14.962,14.560,14.493
9.973,40.694,17.695,17.770,16.710,16.390,16.140,14.714,14.429,9999.000
10.559,40.293,17.613,17.443,16.721,16.243,15.692,14.990,14.163,14.464
10.749,41.268,18.345,17.691,16.727,16.153,15.397,14.086,13.333,13.064
10.619,40.414,17.553,17.352,16.740,16.151,15.640,14.842,14.453,14.214
10.615,41.168,17.890,17.590,16.740,16.210,15.420,14.540,13.985,13.590
10.488,41.087,17.540,17.460,16.750,16.200,15.580,14.888,14.161,14.142
10.802,41.268,18.296,17.715,16.758,16.201,15.649,14.659,13.881,13.774
10.529,41.132,17.800,17.610,16.762,16.500,15.716,15.036,14.395,14.823
10.460,41.203,19.134,18.079,16.777,15.937,14.985,13.690,12.825,12.637
9.640,41.348,17.631,17.462,16.778,16.182,15.802,14.940,14.587,14.310
11.138,41.691,18.120,17.730,16.780,16.220,15.610,14.606,13.960,13.773
11.015,41.511,18.290,17.830,16.780,16.220,15.490,14.874,14.147,13.937
11.193,41.488,18.002,17.780,16.783,16.159,15.600,14.756,14.035,13.963
10.126,41.269,18.206,17.698,16.790,16.218,15.591,14.662,14.052,13.893
10.596,41.875,18.240,17.845,16.790,16.389,15.640,14.767,14.323,13.954
10.644,41.548,19.006,18.180,16.790,15.920,14.930,13.613,12.813,12.648
10.202,42.203,17.727,17.522,16.798,16.242,15.770,15.045,14.451,14.084
10.638,41.007,17.750,17.550,16.800,16.330,15.720,15.003,14.501,14.530
10.299,41.764,18.400,17.750,16.800,16.270,15.650,14.797,14.243,14.003
10.781,41.339,18.290,17.900,16.800,16.300,15.520,14.125,13.387,13.237
12.035,41.678,17.552,17.515,16.812,16.503,15.870,15.101,14.591,14.581
10.931,41.568,18.080,17.700,16.820,16.270,15.680,14.847,14.232,14.297
10.396,41.249,19.891,18.870,16.820,15.540,14.190,12.238,11.256,11.015
13.604,39.715,17.966,17.639,16.821,16.284,15.680,14.914,14.439,14.215
11.245,41.910,17.125,17.394,16.824,16.383,15.632,14.543,13.720,13.516
11.526,42.015,17.461,17.282,16.829,16.573,16.024,15.806,15.173,15.173
10.747,41.546,18.099,17.784,16.831,16.171,15.469,14.652,14.037,13.804
10.576,40.666,17.691,17.600,16.840,16.341,15.764,15.026,14.708,14.313
10.443,41.538,18.090,17.760,16.840,16.270,15.660,14.823,13.931,13.704
10.614,41.426,18.150,17.950,16.850,16.180,15.480,14.550,13.936,13.771
9.737,41.175,17.706,17.537,16.853,16.319,15.848,15.116,14.455,14.293
10.793,41.842,18.134,17.666,16.856,16.235,15.521,14.932,14.286,14.266
10.508,40.670,17.906,17.698,16.858,16.377,15.771,15.149,14.539,14.442
10.319,40.984,17.690,17.740,16.860,16.360,15.773,15.068,14.304,14.637
11.096,41.552,18.070,17.760,16.860,16.130,15.590,14.669,14.071,13.939
10.302,41.008,17.810,17.810,16.860,16.290,15.680,14.837,14.095,14.232
10.621,41.138,18.060,17.680,16.870,16.280,15.650,14.676,14.078,13.957
10.596,41.362,18.130,17.840,16.870,16.180,15.660,14.456,13.872,13.601
10.253,39.932,18.234,17.762,16.875,16.270,15.610,14.708,14.051,13.732
10.699,41.187,18.445,17.890,16.880,16.340,15.760,14.700,14.130,13.861
9.367,44.191,9999.000,9999.000,16.880,9999.000,15.920,15.445,14.759,14.470
10.807,41.022,17.890,17.630,16.900,16.370,15.873,15.161,14.341,14.530
10.085,41.680,18.220,17.510,16.910,9999.000,17.633,16.074,15.610,15.000
